LCA_Class,t,MEMS_actual,MEMS_sarima,period
8,43,,1226.4345186367443,forecast
9,0,717.2359550561798,,train
9,1,854.4671717171717,,train
9,2,802.1014150943396,,train
9,3,939.5451388888889,,train
9,4,625.6781609195402,,train
9,5,1038.7954545454545,,train
9,6,908.275641025641,,train
9,7,619.2764705882353,,train
9,8,791.2325581395348,,train
9,9,800.5913461538462,,train
9,10,853.7942708333334,,train
9,11,787.195652173913,,train
9,12,500.50333333333333,,train
9,13,597.4602803738318,,train
9,14,797.3076923076923,,train
9,15,800.7333333333333,,train
9,16,506.27100840336135,,train
9,17,1078.75,,train
9,18,570.15625,,train
9,19,697.3714285714286,,train
9,20,824.5252808988764,,train
9,21,675.3409090909091,,train
9,22,922.2574626865671,,train
9,23,1039.8235294117646,,train
9,24,1072.5028735632184,,train
9,25,1006.1267605633802,,train
9,26,995.1335616438356,,train
9,27,606.2629310344828,,train
9,28,606.2629310344828,738.6670894775021,forecast
9,29,,897.1901683759097,forecast
9,30,,876.4963708990282,forecast
9,31,,927.2070313964919,forecast
9,32,,809.5068560365029,forecast
9,33,,951.0321561589892,forecast
9,34,,922.3118578090051,forecast
9,35,,846.4330891787553,forecast
9,36,,801.5946542395229,forecast
9,37,,948.2270164326883,forecast
9,38,,921.8358633660702,forecast
9,39,,883.1126290514006,forecast
9,40,,816.8904573842544,forecast
9,41,,962.024358804853,forecast
9,42,,934.9496170354406,forecast
9,43,,885.3225132246936,forecast
10,0,1037.026717557252,,train
10,1,1227.2854330708662,,train
10,2,1002.9076433121019,,train
10,3,1001.109022556391,,train
10,4,1115.083904109589,,train
10,5,1335.0862068965516,,train
10,6,1300.7565217391304,,train
10,7,1119.2379032258063,,train
10,8,1296.9797297297298,,train
10,9,1287.7174796747968,,train
10,10,1212.1897163120568,,train
10,11,921.4765625,,train
10,12,1207.225663716814,,train
10,13,1079.0340314136126,,train
10,14,1212.9386363636363,,train
10,15,1072.2977528089887,,train
10,16,713.7857142857143,,train
10,17,969.1702586206897,,train
10,18,1195.6029411764705,,train
10,19,886.1145161290323,,train
10,20,1129.613475177305,,train
10,21,1189.4440789473683,,train
10,22,1378.9329268292684,,train
10,23,1037.2735042735044,,train
10,24,1074.9640287769785,,train
10,25,1256.8980891719746,,train
10,26,1332.5574324324325,,train
10,27,1040.7969798657718,,train
10,28,1040.7969798657718,1135.2988120770888,forecast
10,29,,1247.0728737948382,forecast
10,30,,1348.7838777317381,forecast
10,31,,1081.3986667528084,forecast
10,32,,1156.0439423717205,forecast
10,33,,1274.7050011967167,forecast
10,34,,1374.2374736233278,forecast
