LondInOut,LA_2023,DURATION_SPORTCOUNT_A01,year
2.0,78.0,225.0,2022 - 2023
2.0,78.0,60.0,2022 - 2023
2.0,78.0,1053.75,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,465.0,2022 - 2023
2.0,78.0,555.0,2022 - 2023
2.0,78.0,705.0,2022 - 2023
2.0,78.0,390.0,2022 - 2023
2.0,78.0,211.75,2022 - 2023
2.0,78.0,362.5,2022 - 2023
2.0,78.0,225.0,2022 - 2023
2.0,78.0,285.0,2022 - 2023
2.0,78.0,135.0,2022 - 2023
2.0,78.0,232.5,2022 - 2023
2.0,78.0,660.0,2022 - 2023
2.0,78.0,162.5,2022 - 2023
2.0,78.0,285.0,2022 - 2023
2.0,78.0,810.0,2022 - 2023
2.0,78.0,150.0,2022 - 2023
2.0,78.0,240.0,2022 - 2023
2.0,78.0,247.5,2022 - 2023
2.0,78.0,2453.0,2022 - 2023
2.0,78.0,105.0,2022 - 2023
2.0,78.0,581.25,2022 - 2023
2.0,78.0,360.0,2022 - 2023
2.0,78.0,265.0,2022 - 2023
2.0,78.0,526.25,2022 - 2023
2.0,78.0,225.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,91.0,480.0,2022 - 2023
2.0,91.0,360.0,2022 - 2023
2.0,91.0,105.0,2022 - 2023
2.0,91.0,0.0,2022 - 2023
2.0,91.0,225.0,2022 - 2023
2.0,91.0,540.0,2022 - 2023
2.0,91.0,0.0,2022 - 2023
2.0,91.0,27.5,2022 - 2023
2.0,91.0,525.0,2022 - 2023
2.0,91.0,420.0,2022 - 2023
2.0,91.0,330.0,2022 - 2023
2.0,91.0,1470.0,2022 - 2023
2.0,91.0,0.0,2022 - 2023
2.0,91.0,266.25,2022 - 2023
2.0,91.0,37.5,2022 - 2023
2.0,91.0,120.0,2022 - 2023
2.0,91.0,0.0,2022 - 2023
2.0,91.0,180.0,2022 - 2023
2.0,91.0,168.75,2022 - 2023
2.0,91.0,900.0,2022 - 2023
2.0,91.0,142.5,2022 - 2023
2.0,91.0,120.0,2022 - 2023
2.0,91.0,30.0,2022 - 2023
2.0,91.0,210.0,2022 - 2023
2.0,91.0,537.5,2022 - 2023
2.0,91.0,63.75,2022 - 2023
2.0,91.0,120.0,2022 - 2023
2.0,91.0,555.0,2022 - 2023
2.0,91.0,120.0,2022 - 2023
2.0,91.0,120.0,2022 - 2023
2.0,91.0,1432.5,2022 - 2023
2.0,91.0,643.75,2022 - 2023
2.0,91.0,330.0,2022 - 2023
2.0,91.0,1138.75,2022 - 2023
2.0,91.0,0.0,2022 - 2023
2.0,91.0,30.0,2022 - 2023
2.0,91.0,365.0,2022 - 2023
2.0,91.0,1980.0,2022 - 2023
2.0,91.0,540.0,2022 - 2023
2.0,91.0,60.0,2022 - 2023
2.0,91.0,75.0,2022 - 2023
2.0,91.0,75.0,2022 - 2023
2.0,91.0,477.5,2022 - 2023
2.0,91.0,0.0,2022 - 2023
2.0,107.0,540.0,2022 - 2023
2.0,107.0,360.0,2022 - 2023
2.0,107.0,0.0,2022 - 2023
2.0,107.0,376.25,2022 - 2023
2.0,107.0,1285.0,2022 - 2023
2.0,107.0,485.0,2022 - 2023
2.0,107.0,1237.5,2022 - 2023
2.0,107.0,0.0,2022 - 2023
2.0,107.0,210.0,2022 - 2023
2.0,107.0,360.0,2022 - 2023
2.0,107.0,80.0,2022 - 2023
2.0,107.0,120.0,2022 - 2023
2.0,107.0,390.0,2022 - 2023
2.0,107.0,150.0,2022 - 2023
2.0,107.0,760.0,2022 - 2023
2.0,107.0,187.5,2022 - 2023
2.0,107.0,560.0,2022 - 2023
2.0,107.0,555.0,2022 - 2023
2.0,107.0,1800.0,2022 - 2023
2.0,107.0,420.0,2022 - 2023
2.0,107.0,1050.0,2022 - 2023
2.0,107.0,547.5,2022 - 2023
2.0,107.0,30.0,2022 - 2023
2.0,107.0,225.0,2022 - 2023
2.0,107.0,1200.0,2022 - 2023
2.0,107.0,525.0,2022 - 2023
2.0,107.0,510.0,2022 - 2023
2.0,107.0,1000.0,2022 - 2023
2.0,107.0,75.0,2022 - 2023
2.0,107.0,420.0,2022 - 2023
2.0,107.0,835.0,2022 - 2023
2.0,107.0,180.0,2022 - 2023
2.0,107.0,0.0,2022 - 2023
2.0,107.0,120.0,2022 - 2023
2.0,107.0,240.0,2022 - 2023
2.0,107.0,2392.5,2022 - 2023
2.0,107.0,0.0,2022 - 2023
2.0,107.0,120.0,2022 - 2023
2.0,107.0,135.0,2022 - 2023
2.0,107.0,105.0,2022 - 2023
2.0,107.0,105.0,2022 - 2023
2.0,107.0,1147.5,2022 - 2023
2.0,107.0,655.0,2022 - 2023
2.0,107.0,153.75,2022 - 2023
2.0,107.0,896.25,2022 - 2023
2.0,107.0,217.5,2022 - 2023
2.0,107.0,165.0,2022 - 2023
2.0,107.0,1867.5,2022 - 2023
2.0,107.0,540.0,2022 - 2023
2.0,107.0,566.25,2022 - 2023
2.0,107.0,352.5,2022 - 2023
2.0,107.0,345.0,2022 - 2023
2.0,107.0,52.5,2022 - 2023
2.0,107.0,118.5,2022 - 2023
2.0,107.0,450.0,2022 - 2023
2.0,107.0,600.0,2022 - 2023
