lad_name,lad_code,total_pop,asian,black,mixed,white,other,simpsons_index
Gloucester,E07000081,132414,0.0645173471083118,0.03644629721932726,0.037866086667572914,0.8493135166976301,0.011856752307157853,0.271601306601021
Stroud,E07000082,121104,0.010371251156031179,0.004359889021006738,0.017926740652662174,0.9636428193949003,0.0036992997753996565,0.07093089229657468
Tewkesbury,E07000083,94882,0.020277818764359943,0.006270947071098838,0.017906452224868783,0.9507177336059527,0.004827048333719778,0.09534133486925445
Basingstoke and Deane,E07000084,185154,0.05923177463084783,0.01950268425202804,0.025476090173585233,0.8848850146364647,0.010904436307074111,0.2123218151511621
East Hampshire,E07000085,125742,0.01884811757408026,0.005232937284280511,0.016533855036503318,0.954279397496461,0.005105692608674906,0.08866875988570144
Eastleigh,E07000086,136444,0.03852129811497757,0.00952771833133007,0.020645832722582157,0.9240640848992994,0.007241065931810853,0.14405221572951876
Fareham,E07000087,114512,0.01846094732429789,0.005850915187927902,0.015081388850076849,0.9562229286013693,0.004383820036328071,0.08501600486461569
Gosport,E07000088,81949,0.014264969676262066,0.012007468059402799,0.014765280845403848,0.9534710612698142,0.005491220149117134,0.09029709965478239
Hart,E07000089,99404,0.03616554665808217,0.00848054404249326,0.022443764838437085,0.9250331978592411,0.007876946601746409,0.1423679475980817
Havant,E07000090,124210,0.016963207471218097,0.006038161178649062,0.013839465421463651,0.9590773689719024,0.004081796956766766,0.07963819865825428
New Forest,E07000091,175782,0.011963682288288903,0.003999271825329101,0.012600835125325687,0.9677782708127112,0.0036579399483451093,0.06307393310320941
Rushmoor,E07000092,99759,0.1469341112080113,0.02537114445814413,0.025842279894545857,0.7740554736915968,0.027796990747701963,0.37716429951569763
Test Valley,E07000093,130491,0.032829850334505827,0.0111731843575419,0.01771769700592378,0.9307691718202787,0.007510096481749699,0.13209579133095994
Winchester,E07000094,127444,0.030735067951413956,0.006214494209221305,0.020322651517529267,0.9361366560999341,0.006591130221901384,0.12220844360347427
Broxbourne,E07000095,99007,0.03693678224771986,0.06654074964396457,0.03969416303897704,0.8110638641712202,0.04576444089811831,0.33271340035956987
Dacorum,E07000096,155081,0.057698879940160305,0.028443200649982913,0.033956448565588306,0.8679464279956925,0.011955042848575905,0.24123485827125513
Hertsmere,E07000098,107827,0.10498298199894275,0.04804918990605322,0.037448876440965624,0.7710962931362275,0.03842265851781094,0.3892016365172838
North Hertfordshire,E07000099,133210,0.05221830192928459,0.024284963591321974,0.036881615494332255,0.8754598003152917,0.011155318669769538,0.22876893282280408
Three Rivers,E07000102,93772,0.15212430149724865,0.02381307853090475,0.03615151644414111,0.7711896941517724,0.016721409375933114,0.3799710521462223
Watford,E07000103,102245,0.24487260990757495,0.06345542569318793,0.047376399823952274,0.608616558266908,0.035679006308376934,0.5620791841190602
Ashford,E07000105,132747,0.05776401726592691,0.025793426593444673,0.021672806165111077,0.8805924051014336,0.014177344874083784,0.21988432589679385
Canterbury,E07000106,157429,0.04050714925458461,0.024811184724542492,0.0274155333515426,0.8922943040989907,0.014971828570339645,0.20057868372464016
Dartford,E07000107,116754,0.09860904123199205,0.10519553933912329,0.031159532007468696,0.7446083217705604,0.020427565650855645,0.42338040076714345
Dover,E07000108,116411,0.02063378890311053,0.007190042178144677,0.015067304636159812,0.9485272010377026,0.008581663244882357,0.09951803032751261
Gravesham,E07000109,106902,0.11224298890572675,0.06503152419973433,0.02645413556341322,0.7660567622682457,0.03021458906288002,0.39471670660421454
Maidstone,E07000110,175781,0.0467229108948066,0.020514162509031125,0.022829543579795313,0.8980720328135577,0.011861350202809177,0.19020088292349757
Sevenoaks,E07000111,120515,0.0289092644069203,0.016031199435754886,0.02639505455752396,0.9210886611625109,0.007575820437289964,0.14974884139356237
Folkestone and Hythe,E07000112,109759,0.0389125265354094,0.006213613462221777,0.0192057143377764,0.9257919623903279,0.009876183274264524,0.14089005020054768
Swale,E07000113,151677,0.015242917515509932,0.02298964246392004,0.018071296241354985,0.9384481496865049,0.005247994092710167,0.11820008696513173
Thanet,E07000114,140587,0.023181375233840968,0.010534402185123802,0.02432657358077205,0.9298085882762986,0.01214906072396452,0.13406825752185114
Tonbridge and Malling,E07000115,132201,0.02931899153561622,0.00993941044318878,0.02226155626659405,0.9325723708595245,0.005907670895076437,0.12881990050200653
Tunbridge Wells,E07000116,115314,0.03959623289453145,0.009808002497528487,0.025573651074457568,0.9154309103838215,0.009591203149660926,0.1595761869342821
