lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2
E07000040,East Devon,1336.95008057647,1.63269126147665,96413.4821759717
E07000041,Exeter,516.461608135875,2.40194275239682,168856.306979321
E07000042,Mid Devon,2329.86977504646,1.34303984257749,319468.088183484
E07000043,North Devon,1402.3651287315,1.64530770157177,80981.7730124422
E07000044,South Hams,2195.76977697733,1.13911578991134,23557.6098200013
E07000045,Teignbridge,1493.93017979514,1.52176262343813,219381.89906158
E07000046,Torridge,3046.60185491164,1.08363135287238,471481.467289742
E07000047,West Devon,3599.94363188442,1.11909014303777,546886.790827193
E07000078,Cheltenham,597.768495253986,2.82675458094005,117822.544103113
E07000079,Cotswold,2017.06801380957,1.49926035154228,248007.564691542
E07000080,Forest of Dean,3214.90293041095,1.02063034348346,98057.5456035986
E07000081,Gloucester,659.087786896191,1.69167291302764,257394.998982177
E07000082,Stroud,999.861528232538,1.63989807217739,160243.658468917
E07000083,Tewkesbury,1777.79068687617,1.10619370117419,45954.6941654966
E07000187,Mendip,1766.49624431968,1.25942756790235,58164.5756775534
E07000188,Sedgemoor,2263.05273415668,1.41209884238948,98080.2267243549
E07000189,South Somerset,2732.38416751064,1.36437079006047,219533.656987416
E07000246,Somerset West and Taunton,1479.05391994631,1.10518059548494,49384.5038207228
E06000022,Bath and North East Somerset,945.02316181776,2.30711445391602,84526.8629790275
E06000023,"Bristol, City of",333.550711672904,4.37535286424912,658853.374917176
E06000024,North Somerset,1371.72600534324,1.76554064412194,161104.788374614
E06000025,South Gloucestershire,943.434087366565,1.88332491890318,231465.991176695
E06000026,Plymouth,747.64134885124,2.83819067633847,333465.422588128
E06000027,Torbay,538.613538420715,4.15393437613438,145754.069241895
E06000030,Swindon,867.297717322996,1.92120179615725,400148.384537639
E06000052,Cornwall,2074.05601467309,1.37296123748579,116180.034405701
E06000053,Isles of Scilly,197.687104391304,2.0,1673.0
E06000054,Wiltshire,1484.29385573664,1.41499438620556,174339.010338901
E06000058,"Bournemouth, Christchurch and Poole",649.374885948207,2.18314671524537,172422.505636613
E06000059,Dorset,1799.75246607192,1.37405246236042,412147.113366553
S12000005,Clackmannanshire,933.202050510654,1.76050789831863,137253.651014233
S12000006,Dumfries and Galloway,1735.11269051236,2.96601436452515,44174.2845612763
S12000008,East Ayrshire,1438.83885887117,2.44627676471551,239711.353386939
S12000010,East Lothian,872.209677697158,1.28659902857821,627392.886063881
S12000011,East Renfrewshire,741.062181898505,1.77519068554458,1643692.68612441
S12000013,Na h-Eileanan Siar,624.482610728692,2.3387976407826,16240.5590341017
S12000014,Falkirk,518.588368971825,2.70822995028216,330767.351553167
S12000017,Highland,3474.81514515817,2.3431309792228,88353.3314630661
S12000018,Inverclyde,922.347653187714,1.92119980998019,104114.75668011
S12000019,Midlothian,683.146757636313,1.33777682798463,432208.416652457
S12000020,Moray,1505.91660880218,1.67458047786799,98966.06500657
S12000021,North Ayrshire,1248.04654107711,1.57245450450612,860207.371099671
S12000023,Orkney Islands,1336.86209818144,1.0,9097.04896629849
S12000026,Scottish Borders,2036.30518050902,2.58857826255897,241819.379787216
S12000027,Shetland Islands,3738.78518683034,1.06860792616356,18563.3838277394
S12000028,South Ayrshire,1605.4545656982,3.29435912933319,150197.412088758
S12000029,South Lanarkshire,846.500385164749,1.86392537308534,355543.984814936
S12000030,Stirling,867.12096759724,3.16776254307621,302620.556334171
S12000033,Aberdeen City,709.65408811413,1.9983947654787,432238.329694797
S12000034,Aberdeenshire,3029.76626317298,1.16344944866172,156646.768646979
S12000035,Argyll and Bute,2423.70683062967,1.26553846721004,45301.3817903022
S12000036,City of Edinburgh,509.887747249038,4.05220201018809,779649.095054319
S12000038,Renfrewshire,852.867172156579,1.79480628632532,528534.585096421
S12000039,West Dunbartonshire,544.381695603916,2.4797332545138,182393.285925649
S12000040,West Lothian,574.90558158445,2.00958939622674,280210.224532189
S12000041,Angus,1189.54073585151,2.04153007804657,271280.360311336
S12000042,Dundee City,503.579859464369,2.7086659864982,316097.980663078
S12000045,East Dunbartonshire,929.363209554802,1.94346343950044,170164.027890389
S12000047,Fife,967.480977592614,1.60295839386837,315763.413633867
S12000048,Perth and Kinross,1981.19039218575,1.49818082368914,176145.295863488
S12000049,Glasgow City,462.01845060953,2.65654529029416,487569.579503116
S12000050,North Lanarkshire,683.653598975254,2.69131758141522,699639.150574689
W06000001,Isle of Anglesey,3374.46077890565,1.03631909877945,263117.233824529
W06000002,Gwynedd,3132.06723581598,1.2992726101066,241192.566810815
W06000003,Conwy,1622.11322326411,1.2687308384103,56100.023380973
W06000004,Denbighshire,1710.16231417388,1.30897049575011,1666660.64716849
W06000005,Flintshire,1687.14027806708,1.59213401269452,185673.057567648
W06000006,Wrexham,900.130079990917,2.34632531381375,470534.747090463
W06000008,Ceredigion,2868.70739661139,1.00146327578975,8048.61893736106
W06000009,Pembrokeshire,1972.42551717351,1.08027627246839,29882.3138861936
W06000010,Carmarthenshire,2486.49565169925,1.06944134582447,234284.508282995
W06000011,Swansea,844.740737881546,1.97498783495985,417240.791052413
W06000012,Neath Port Talbot,1443.07813542617,1.32332140448941,99429.8067789902
W06000013,Bridgend,1976.84300951727,1.14354099361462,356297.443720219
W06000014,Vale of Glamorgan,800.145132736324,2.54784804852599,307826.772337878
W06000015,Cardiff,490.597013614446,3.45522076442532,299569.422073066
W06000016,Rhondda Cynon Taf,1321.55987971581,1.28296522212152,268697.321858585
W06000018,Caerphilly,812.841166856262,1.41802380954282,392986.062227547
W06000019,Blaenau Gwent,978.104172140202,1.22466220955496,216947.497520003
W06000020,Torfaen,766.373162051367,1.28974477415036,119348.45012975
W06000021,Monmouthshire,1962.81733674879,1.06068340022617,82258.4642957834
W06000022,Newport,729.193212469668,1.84365890393438,187829.934385313
W06000023,Powys,2969.29638808122,1.24764967215089,113962.330941559
W06000024,Merthyr Tydfil,805.762507645397,1.39675149351662,269313.137363206
,,,,
,,,,
,,,,
