serial,year,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
161090308253481.0,2016/17,3,0,0,1,0,0,0,1,1,4,1,4
161090308253482.0,2016/17,3,1,1,1,0,0,0,1,1,4,2,4
161090308255081.0,2016/17,6,1,1,0,0,4,1,3,0,0,1,3
161090308257181.0,2016/17,4,0,0,1,0,0,4,0,0,3,0,4
161090308258782.0,2016/17,1,0,1,1,0,0,1,0,0,3,0,4
161090308272681.0,2016/17,1,1,0,1,0,0,6,0,0,8,0,4
161090308272682.0,2016/17,1,0,0,1,0,0,6,0,0,8,0,1
161090318281681.0,2016/17,1,0,2,1,0,1,2,2,1,7,1,3
161090318282582.0,2016/17,3,1,0,0,0,0,3,0,0,3,0,0
161090318284982.0,2016/17,0,1,0,1,1,0,2,0,0,7,0,4
161090318288381.0,2016/17,1,0,1,0,3,2,0,5,0,0,1,2
161090318289781.0,2016/17,2,1,0,1,0,0,3,0,2,4,2,4
161090318290682.0,2016/17,2,1,1,1,0,0,1,1,2,4,0,2
161090318296982.0,2016/17,2,0,0,1,0,0,2,0,0,3,0,2
161090328304581.0,2016/17,2,1,1,1,0,0,8,1,3,4,0,4
161090328308782.0,2016/17,3,1,3,1,0,0,0,0,1,4,0,4
161090328309281.0,2016/17,1,0,0,1,0,0,5,0,0,1,0,3
161090328309282.0,2016/17,1,0,5,1,1,0,5,0,0,1,0,1
161090328310381.0,2016/17,2,1,6,1,0,0,2,0,2,4,3,3
161090328313782.0,2016/17,2,1,1,1,0,0,3,0,1,4,3,4
