Age9,Educ6,Eth7,Gend3,HHLiv12,IMD10,NSSEC5,WorkStat10,MEMS7_ALL,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,LOG_MEMS7_ALL,active,labels_2d,labels_6d,labels_10d
3.0,1.0,1.0,2.0,5.0,9.0,1.0,1.0,1050.0,1.0,4.0,1.0,2.0,9.0,8.0,3.0,8.0,6.957497370876951,True,1,1,1
7.0,5.0,1.0,2.0,1.0,4.0,1.0,5.0,300.0,3.0,4.0,2.0,3.0,6.0,7.0,2.0,5.0,5.707110264748875,True,3,3,3
3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,0.0,False,0,0,0
5.0,1.0,5.0,2.0,5.0,4.0,2.0,1.0,0.0,3.0,4.0,2.0,3.0,7.0,8.0,4.0,8.0,0.0,False,2,2,2
7.0,5.0,3.0,2.0,5.0,4.0,2.0,5.0,232.5,2.0,3.0,2.0,3.0,10.0,10.0,5.0,10.0,5.453182077108952,True,3,3,3
4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,230.0,1.0,5.0,1.0,4.0,5.0,8.0,5.0,10.0,5.442417710521793,True,0,0,0
5.0,1.0,2.0,1.0,7.0,8.0,1.0,1.0,1095.0,1.0,5.0,3.0,4.0,8.0,8.0,4.0,8.0,6.999422467507961,True,0,0,0
5.0,1.0,1.0,2.0,7.0,8.0,1.0,1.0,210.0,2.0,5.0,3.0,4.0,7.0,6.0,3.0,6.0,5.351858133476067,True,1,1,1
5.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,731.25,2.0,5.0,2.0,4.0,1.0,3.0,2.0,3.0,6.596121985707843,True,2,2,2
2.0,3.0,3.0,2.0,10.0,1.0,4.0,8.0,0.0,2.0,4.0,1.0,3.0,10.0,9.0,4.0,10.0,0.0,False,3,3,3
7.0,1.0,1.0,1.0,5.0,7.0,1.0,5.0,1052.5,4.0,5.0,3.0,5.0,10.0,9.0,5.0,8.0,6.9598732332442435,True,0,0,0
7.0,1.0,1.0,1.0,5.0,9.0,1.0,5.0,0.0,2.0,5.0,1.0,4.0,9.0,8.0,5.0,8.0,0.0,False,0,0,0
7.0,1.0,1.0,1.0,1.0,7.0,2.0,5.0,825.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,6.0,6.716594773520978,True,0,0,0
5.0,1.0,1.0,2.0,6.0,8.0,1.0,2.0,360.0,3.0,4.0,3.0,4.0,7.0,7.0,4.0,9.0,5.8888779583328805,True,3,3,3
4.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,2940.0,3.0,3.0,1.0,3.0,8.0,4.0,4.0,6.0,7.9865049385539955,True,1,1,1
7.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,266.25,2.0,4.0,3.0,3.0,8.0,7.0,5.0,8.0,5.588184549905154,True,0,0,0
2.0,6.0,4.0,2.0,10.0,8.0,4.0,8.0,995.0,1.0,3.0,2.0,3.0,9.0,9.0,4.0,8.0,6.903747257584598,True,3,3,3
4.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0,240.0,3.0,4.0,1.0,3.0,8.0,8.0,4.0,9.0,5.484796933490655,True,2,2,2
5.0,2.0,1.0,2.0,6.0,6.0,1.0,2.0,622.5,1.0,5.0,1.0,2.0,8.0,9.0,5.0,8.0,6.435348765120091,True,3,3,3
2.0,3.0,1.0,1.0,10.0,6.0,4.0,8.0,120.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,4.795790545596741,False,0,0,0
4.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,280.0,2.0,4.0,2.0,3.0,7.0,7.0,5.0,7.0,5.638354669333745,True,0,0,0
6.0,1.0,1.0,2.0,10.0,8.0,2.0,7.0,75.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,5.0,4.330733340286331,False,3,3,3
2.0,2.0,1.0,2.0,10.0,4.0,4.0,8.0,720.0,4.0,5.0,4.0,2.0,5.0,6.0,2.0,4.0,6.580639137284949,True,3,3,3
6.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,522.5,1.0,4.0,1.0,3.0,7.0,8.0,4.0,8.0,6.260537030310592,True,3,3,3
6.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,785.0,1.0,5.0,2.0,4.0,7.0,7.0,2.0,8.0,6.666956792429207,True,0,0,0
4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,780.0,1.0,4.0,2.0,2.0,5.0,5.0,1.0,5.0,6.660575149839686,True,2,2,2
3.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,555.0,2.0,3.0,2.0,4.0,7.0,7.0,3.0,5.0,6.320768294250582,True,2,2,2
3.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,2400.0,1.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,7.783640596221253,True,0,0,0
7.0,1.0,1.0,2.0,4.0,7.0,1.0,1.0,1340.0,4.0,4.0,2.0,4.0,8.0,8.0,3.0,10.0,7.201170883281678,True,1,1,1
5.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,0.0,4.0,3.0,2.0,3.0,0.0,2.0,4.0,5.0,0.0,False,2,2,2
4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,105.0,3.0,4.0,2.0,3.0,9.0,7.0,3.0,7.0,4.663439094112067,False,1,1,1
5.0,2.0,1.0,2.0,1.0,6.0,2.0,6.0,1421.25,1.0,5.0,3.0,3.0,9.0,8.0,4.0,8.0,7.259995403630756,True,3,3,3
4.0,1.0,5.0,2.0,5.0,6.0,1.0,1.0,922.5,1.0,4.0,1.0,4.0,7.0,7.0,2.0,7.0,6.828170799639294,True,2,2,2
4.0,1.0,2.0,1.0,5.0,8.0,1.0,1.0,237.0,1.0,5.0,3.0,3.0,8.0,9.0,3.0,9.0,5.472270673671475,True,0,0,0
